Sujetos,Condición,Percepción cuánto recuerdo,Valencia percibida recuerdo,Valencia percibida -5 a +5,Intensidad percibida recuerdo,Nro palabras únicas,Intensidad pysent,Positivo pysennt,Negativo pysent,Neutro pysennt,Nro sust,Nro verb,Nro adj,Nro numeral,Nro propn,Nro advs,Coherencia norm,Evolucion coherencia norm,Detalles internos,Detalles externos,Total word count ruben
1,campeones_del_mundo,4.0,1.0,3.0,3.0,0.6855411217340879,0.27873529493808746,0.15758411586284637,0.12115117907524109,0.7212647199630737,23,34,12,3,1,15,0.9377922013467268,"[0.9377922013467268, 0.8109213659414652, 0.7819351854898233, 0.8063549948033655, 0.6840106648680766, 0.6351724967475963, 0.767477406282383]",181.5,38.5,220
2,campeones_del_mundo,4.0,1.0,3.0,3.0,1.7046068944556283,0.15055318549275398,0.10390873998403549,0.04664444550871849,0.8494467735290527,87,90,18,13,14,56,0.9779007954704919,"[0.9779007954704919, 0.9425069971769224, 0.8749204515684682, 0.8611293401544129, 0.8626399182700317, 0.8883013773988631, 0.8802582415631857, 0.881181245974119, 0.8098741169864705, 0.8465774442813031, 0.8812813866519726, 0.9175484754857243, 0.9388697449644605, 0.9250208662935958, 0.8687504723349843, 0.9189073930799921, 0.8694255802832251, 0.894044831163255, 0.9284266636047473, 0.9308733649226902, 0.9381750835570201, 0.9285396570736757, 0.9285462426434111, 1.018047462400208, 0.9003286725645124, 0.9515272766982665, 0.8573779281778522, 0.7582225497889178, 0.7000047675537406]",513.25,84.75,598
3,campeones_del_mundo,5.0,1.0,5.0,5.0,1.5446033161206163,0.779883623123169,0.07043689489364624,0.7094467282295227,0.22011631727218628,65,48,16,7,10,33,0.8130844470390969,"[0.8130844470390969, 0.7809229625870445, 0.8344062660424661, 0.7514608149321674, 0.7753824723573155, 0.7671218819457546, 0.7324016800945143, 0.7070557018011595, 0.749669306826801, 0.7399397585178352, 0.7520828119235726, 0.7690176786924537, 0.7841994576152751, 0.8297048021444683, 0.8125354484273446, 0.8020179669564238, 0.7551048281951678, 0.8177452042139702, 0.7628142526099211, 0.8074782991792818, 0.646418864231753, 0.57635724985936, 0.9184379992081532]",354.75,51.25,406
4,campeones_del_mundo,5.0,1.0,5.0,5.0,1.6475114643755002,0.3403142839670181,0.30218830704689026,0.03812597692012787,0.6596857309341431,208,169,76,1,27,115,1.0293863392244733,"[1.0293863392244733, 0.9827347223907125, 0.9824509500835029, 0.9955407842518197, 0.9638072407936535, 0.9599230535432224, 0.9672887454617427, 0.9506986264206543, 0.9357439253137428, 0.9689671562138157, 0.8905362372293684, 0.9019451773964515, 0.8248997696341579, 0.7867074957995742, 0.7154096451839884, 0.4541556620463682, 0.4420153618532207]",1006.75,283.25,1290
5,campeones_del_mundo,5.0,1.0,3.0,3.0,1.9758635649243261,0.6592734921723604,0.6418008804321289,0.017472611740231514,0.34072646498680115,117,93,28,8,21,58,1.0815396341385815,"[1.0815396341385815, 1.1333363685881532, 1.1686549247272686, 1.1345911274659581, 1.1154803106052487, 1.1308843930656212, 1.0540153195545732, 0.988684155817121, 1.0634621626704879, 1.2253853114803863]",578.25,220.75,799
6,campeones_del_mundo,4.0,1.0,5.0,5.0,1.629330082704105,0.5545786507427692,0.012838054448366165,0.5417405962944031,0.44542139768600464,146,110,42,8,15,82,0.904073075980143,"[0.904073075980143, 0.8820064896286999, 0.8737632657274355, 0.8709217503528118, 0.8647163118121367, 0.8771196358879905, 0.8564418209782442, 0.8320215531309432, 0.8639500763987548, 0.851672538794015, 0.8234198921795443, 0.8647402218732703, 0.8553912569933857, 0.8565482840572416, 0.8424244839855727, 0.8029506157539276, 0.8496906248346908, 0.9410777345362384, 0.8528400379813109, 0.8608068884716416, 0.8989128385802909, 0.8261890113948572]",667.75,201.25,869
7,campeones_del_mundo,3.0,1.0,4.0,4.0,1.7341643782887737,0.32168062403798103,0.04170738533139229,0.27997323870658875,0.6783193349838257,97,138,30,9,36,77,0.7848822037303497,"[0.7848822037303497, 0.7515626714715239, 0.7647314588587649, 0.8161330874430823, 0.7957094353515215, 0.7478316995149545, 0.7376241139683712, 0.7825824335799872, 0.7882578809907904, 0.7436650992057495, 0.7197348967679383, 0.7337336386321973, 0.737818035296107, 0.7470826292110326, 0.7087453491488581, 0.723817996664713, 0.7378685973789818, 0.7524032264793746, 0.7347380611560205, 0.711506344486433, 0.7294635063887821, 0.7296014970399368, 0.7115931225817402, 0.768846088129313, 0.7349544905302281, 0.7393990792141394, 0.8033744974227858, 0.7271794787910608, 0.7215202847229306, 0.7120091571172356, 0.7391802898641808, 0.7146159265106421, 0.7093967891133912, 0.6953386457118711, 0.7798934693303579, 0.805869657682573, 0.7344411596950985, 0.7310312328724207, 0.7644943513235875, 0.805157350752453, 0.7295079817407389, 0.7419409659328304, 0.8227040980119286, 0.7843461496766381, 0.8431769965690515, 0.8623145616998192, 0.8507232886402997, 0.8116222907954143, 0.793866948010844, 0.740182267561829, 0.839843526966479, 0.9172960902710613, 0.9681243304656703, 0.9131972816245812, 0.9166900601786627, 0.8668370291921315, 0.7260473920253607]",716.0,139.0,855
8,campeones_del_mundo,5.0,1.0,2.0,2.0,1.2853755886683953,0.902622408233583,0.004896051250398159,0.8977263569831848,0.09737762063741684,46,49,16,0,4,8,0.866220788854171,"[0.866220788854171, 0.8474574864791762, 0.7705152415949054, 0.8183567639150194, 0.7504201453368993, 0.8433414323954691, 0.8178847424778768, 0.9543276497477436, 0.9356887726166883, 0.9576917646902853, 0.9039503756967096, 0.8706678668902202]",267.75,9.25,277
9,campeones_del_mundo,4.0,1.0,5.0,5.0,1.9091332820150195,0.6329097375273705,0.6024767756462097,0.030432961881160736,0.36709025502204895,157,162,46,17,45,63,0.9032049261235507,"[0.9032049261235507, 0.9061551274520133, 0.8777281649291543, 0.8738273839138058, 0.8758621292732671, 0.8518416698878243, 0.8662014236727903, 0.8502395543765339, 0.8712363294839027, 0.8361529802816102, 0.8306684987942898, 0.8539740357722613, 0.8349729546374223, 0.8387389873999673, 0.8651996623560173, 0.8712023294174579, 0.8601968817736979, 0.871741925009914, 0.8578516639120374, 0.863066316920053, 0.8765251896132711, 0.8708528787504203, 0.8656371926732302, 0.8256000650052461, 0.8432823812515364, 0.8509822912880622, 0.8533806032586737, 0.8160804737753038, 0.8525523666448512, 0.8549758124732934, 0.8835316207303924, 0.8706984401348573, 0.831325720399148, 0.8989203981934533, 0.8970612843665579, 0.8489065922923861, 0.8342774526723933, 0.8884660642666676, 0.8538110971665507, 0.8816242173614964, 0.8723428980847454, 0.831513074337848, 0.9558054857984024, 0.8702852641130521, 0.9665442680422668, 0.827323565356575, 0.7440098414097692]",918.0,146.0,1064
10,campeones_del_mundo,5.0,1.0,5.0,5.0,0.9537930736808986,0.49008776247501373,0.45213833451271057,0.03794942796230316,0.5099123120307922,105,103,29,9,20,58,0.8286337679263501,"[0.8286337679263501, 0.8257348528857287, 0.8190300548874732, 0.8056186235392399, 0.8118305676319612, 0.8148878738713256, 0.8077270684017224, 0.8211249334412182, 0.7702997135565941, 0.8039368450399429, 0.7924463982155594, 0.8057392796504349, 0.8033053889692592, 0.7921311268980233, 0.8075331590259093, 0.786431210995506, 0.8034653042985309, 0.7552716275837593, 0.8417100696899401, 0.7918525862488275, 0.7896092165943601, 0.7912718129268309, 0.7911935961977383, 0.8014829556130915, 0.7818162561367313, 0.7939462993850611, 0.7982624529917302, 0.7816323309627808, 0.7830132977258366, 0.6940676084147135, 0.7311749255073248, 0.730833057031495, 0.7165456181494323, 0.6790222124449395, 0.4871723765986797, 0.745753142682449]",609.25,107.75,717
